,fed_rate,sp500,bond_yield
2020-01-01,1.55,,
2020-01-02,1.55,3257.85,1.88
2020-01-03,1.55,3234.85,1.8
2020-01-04,1.55,3234.85,1.8
2020-01-05,1.55,3234.85,1.8
2020-01-06,1.55,3246.28,1.81
2020-01-07,1.55,3237.18,1.83
2020-01-08,1.55,3253.05,1.87
2020-01-09,1.55,3274.7,1.85
2020-01-10,1.54,3265.35,1.83
2020-01-11,1.54,3265.35,1.83
2020-01-12,1.54,3265.35,1.83
2020-01-13,1.54,3288.13,1.85
2020-01-14,1.54,3283.15,1.82
2020-01-15,1.54,3289.29,1.79
2020-01-16,1.54,3316.81,1.81
2020-01-17,1.55,3329.62,1.84
2020-01-18,1.55,3329.62,1.84
2020-01-19,1.55,3329.62,1.84
2020-01-20,1.55,3329.62,1.84
2020-01-21,1.55,3320.79,1.78
2020-01-22,1.55,3321.75,1.77
2020-01-23,1.55,3325.54,1.74
2020-01-24,1.55,3295.47,1.7
2020-01-25,1.55,3295.47,1.7
2020-01-26,1.55,3295.47,1.7
2020-01-27,1.55,3243.63,1.61
2020-01-28,1.55,3276.24,1.65
2020-01-29,1.55,3273.4,1.6
2020-01-30,1.6,3283.66,1.57
2020-01-31,1.59,3225.52,1.51
2020-02-01,1.59,3225.52,1.51
2020-02-02,1.59,3225.52,1.51
2020-02-03,1.59,3248.92,1.54
2020-02-04,1.59,3297.59,1.61
2020-02-05,1.59,3334.69,1.66
2020-02-06,1.59,3345.78,1.65
2020-02-07,1.58,3327.71,1.59
2020-02-08,1.58,3327.71,1.59
2020-02-09,1.58,3327.71,1.59
2020-02-10,1.58,3352.09,1.56
2020-02-11,1.58,3357.75,1.59
2020-02-12,1.58,3379.45,1.62
2020-02-13,1.58,3373.94,1.61
2020-02-14,1.58,3380.16,1.59
2020-02-15,1.58,3380.16,1.59
2020-02-16,1.58,3380.16,1.59
2020-02-17,1.58,3380.16,1.59
2020-02-18,1.59,3370.29,1.55
2020-02-19,1.59,3386.15,1.56
2020-02-20,1.59,3373.23,1.52
2020-02-21,1.58,3337.75,1.46
2020-02-22,1.58,3337.75,1.46
2020-02-23,1.58,3337.75,1.46
2020-02-24,1.58,3225.89,1.38
2020-02-25,1.58,3128.21,1.33
2020-02-26,1.58,3116.39,1.33
2020-02-27,1.58,2978.76,1.3
2020-02-28,1.58,2954.22,1.13
2020-02-29,1.58,2954.22,1.13
2020-03-01,1.58,2954.22,1.13
2020-03-02,1.59,3090.23,1.1
2020-03-03,1.59,3003.37,1.02
2020-03-04,1.09,3130.12,1.02
2020-03-05,1.09,3023.94,0.92
2020-03-06,1.09,2972.37,0.74
2020-03-07,1.09,2972.37,0.74
2020-03-08,1.09,2972.37,0.74
2020-03-09,1.09,2746.56,0.54
2020-03-10,1.09,2882.23,0.76
2020-03-11,1.09,2741.38,0.82
2020-03-12,1.1,2480.64,0.88
2020-03-13,1.1,2711.02,0.94
2020-03-14,1.1,2711.02,0.94
2020-03-15,1.1,2711.02,0.94
2020-03-16,0.25,2386.13,0.73
2020-03-17,0.25,2529.19,1.02
2020-03-18,0.25,2398.1,1.18
2020-03-19,0.2,2409.39,1.12
2020-03-20,0.15,2304.92,0.92
2020-03-21,0.15,2304.92,0.92
2020-03-22,0.15,2304.92,0.92
2020-03-23,0.15,2237.4,0.76
2020-03-24,0.12,2447.33,0.84
2020-03-25,0.1,2475.56,0.88
2020-03-26,0.1,2630.07,0.83
2020-03-27,0.1,2541.47,0.72
2020-03-28,0.1,2541.47,0.72
2020-03-29,0.1,2541.47,0.72
2020-03-30,0.09,2626.65,0.7
2020-03-31,0.08,2584.59,0.7
2020-04-01,0.06,2470.5,0.62
2020-04-02,0.05,2526.9,0.63
2020-04-03,0.05,2488.65,0.62
2020-04-04,0.05,2488.65,0.62
2020-04-05,0.05,2488.65,0.62
2020-04-06,0.05,2663.68,0.67
2020-04-07,0.05,2659.41,0.75
2020-04-08,0.05,2749.98,0.77
2020-04-09,0.05,2789.82,0.73
2020-04-10,0.05,2789.82,0.73
2020-04-11,0.05,2789.82,0.73
2020-04-12,0.05,2789.82,0.73
2020-04-13,0.05,2761.63,0.76
2020-04-14,0.05,2846.06,0.76
2020-04-15,0.05,2783.36,0.63
2020-04-16,0.05,2799.55,0.61
2020-04-17,0.05,2874.56,0.65
2020-04-18,0.05,2874.56,0.65
2020-04-19,0.05,2874.56,0.65
2020-04-20,0.05,2823.16,0.63
2020-04-21,0.05,2736.56,0.58
2020-04-22,0.05,2799.31,0.63
2020-04-23,0.04,2797.8,0.61
2020-04-24,0.05,2836.74,0.6
2020-04-25,0.05,2836.74,0.6
2020-04-26,0.05,2836.74,0.6
2020-04-27,0.04,2878.48,0.67
2020-04-28,0.04,2863.39,0.62
2020-04-29,0.04,2939.51,0.63
2020-04-30,0.05,2912.43,0.64
2020-05-01,0.05,2830.71,0.64
2020-05-02,0.05,2830.71,0.64
2020-05-03,0.05,2830.71,0.64
2020-05-04,0.05,2842.74,0.64
2020-05-05,0.05,2868.44,0.66
2020-05-06,0.05,2848.42,0.72
2020-05-07,0.05,2881.19,0.63
2020-05-08,0.05,2929.8,0.69
2020-05-09,0.05,2929.8,0.69
2020-05-10,0.05,2929.8,0.69
2020-05-11,0.05,2930.32,0.73
2020-05-12,0.05,2870.12,0.69
2020-05-13,0.05,2820.0,0.64
2020-05-14,0.05,2852.5,0.63
2020-05-15,0.05,2863.7,0.64
2020-05-16,0.05,2863.7,0.64
2020-05-17,0.05,2863.7,0.64
