,gtrends
2020-01-01,
2020-01-02,23.0
2020-01-03,25.0
2020-01-04,29.0
2020-01-05,25.0
2020-01-06,25.0
2020-01-07,28.0
2020-01-08,34.0
2020-01-09,38.0
2020-01-10,30.0
2020-01-11,29.0
2020-01-12,26.0
2020-01-13,24.0
2020-01-14,25.0
2020-01-15,37.0
2020-01-16,35.0
2020-01-17,32.0
2020-01-18,32.0
2020-01-19,29.0
2020-01-20,32.0
2020-01-21,29.0
2020-01-22,28.0
2020-01-23,28.0
2020-01-24,27.0
2020-01-25,25.0
2020-01-26,23.0
2020-01-27,22.0
2020-01-28,28.0
2020-01-29,29.0
2020-01-30,32.0
2020-01-31,31.0
2020-02-01,30.0
2020-02-02,27.0
2020-02-03,26.0
2020-02-04,27.0
2020-02-05,30.0
2020-02-06,31.0
2020-02-07,33.0
2020-02-08,33.0
2020-02-09,30.0
2020-02-10,39.0
2020-02-11,34.0
2020-02-12,37.0
2020-02-13,40.0
2020-02-14,36.0
2020-02-15,32.0
2020-02-16,33.0
2020-02-17,31.0
2020-02-18,33.0
2020-02-19,31.0
2020-02-20,34.0
2020-02-21,35.0
2020-02-22,32.0
2020-02-23,26.0
2020-02-24,27.0
2020-02-25,32.0
2020-02-26,31.0
2020-02-27,35.0
2020-02-28,34.0
2020-02-29,35.0
2020-03-01,29.0
2020-03-02,28.0
2020-03-03,31.0
2020-03-04,30.0
2020-03-05,31.0
2020-03-06,36.0
2020-03-07,30.0
2020-03-08,25.0
2020-03-09,30.0
2020-03-10,51.0
2020-03-11,37.0
2020-03-12,34.0
2020-03-13,73.0
2020-03-14,100.0
2020-03-15,61.0
2020-03-16,53.0
2020-03-17,67.0
2020-03-18,55.0
2020-03-19,53.0
2020-03-20,58.0
2020-03-21,59.0
2020-03-22,49.0
2020-03-23,44.0
2020-03-24,47.0
2020-03-25,46.0
2020-03-26,44.0
2020-03-27,39.0
2020-03-28,38.0
2020-03-29,38.0
2020-03-30,38.0
2020-03-31,38.0
2020-04-01,35.0
2020-04-02,34.0
2020-04-03,40.0
2020-04-04,36.0
2020-04-05,33.0
2020-04-06,33.0
2020-04-07,38.0
2020-04-08,39.0
2020-04-09,36.0
2020-04-10,35.0
2020-04-11,39.0
2020-04-12,34.0
2020-04-13,35.0
2020-04-14,37.0
2020-04-15,34.0
2020-04-16,35.0
2020-04-17,35.0
2020-04-18,34.0
2020-04-19,34.0
2020-04-20,33.0
2020-04-21,34.0
2020-04-22,34.0
2020-04-23,34.0
2020-04-24,37.0
2020-04-25,37.0
2020-04-26,35.0
2020-04-27,36.0
2020-04-28,38.0
2020-04-29,38.0
2020-04-30,51.0
2020-05-01,60.0
2020-05-02,48.0
2020-05-03,43.0
2020-05-04,46.0
2020-05-05,43.0
2020-05-06,42.0
2020-05-07,45.0
2020-05-08,59.0
2020-05-09,66.0
2020-05-10,56.0
2020-05-11,70.0
2020-05-12,89.0
2020-05-13,63.0
2020-05-14,51.0
2020-05-15,55.0
2020-05-16,46.0
2020-05-17,42.0
2020-05-18,44.0
2020-05-19,43.0
2020-05-20,41.0
2020-05-21,40.0
2020-05-22,42.0
2020-05-23,39.0
2020-05-24,35.0
2020-05-25,37.0
2020-05-26,39.0
2020-05-27,38.0
2020-05-28,36.0
2020-05-29,36.0
2020-05-30,35.0
2020-05-31,32.0
2020-06-01,33.0
2020-06-02,33.0
2020-06-03,47.0
2020-06-04,36.0
2020-06-05,34.0
2020-06-06,34.0
2020-06-07,30.0
2020-06-08,33.0
2020-06-09,32.0
2020-06-10,32.0
2020-06-11,33.0
2020-06-12,36.0
2020-06-13,32.0
2020-06-14,29.0
2020-06-15,28.0
2020-06-16,33.0
2020-06-17,28.0
2020-06-18,31.0
2020-06-19,29.0
2020-06-20,29.0
2020-06-21,26.0
2020-06-22,26.0
2020-06-23,30.0
2020-06-24,31.0
2020-06-25,30.0
2020-06-26,31.0
2020-06-27,29.0
2020-06-28,27.0
2020-06-29,30.0
2020-06-30,27.0
2020-07-01,28.0
2020-07-02,28.0
2020-07-03,16.0
2020-07-04,16.0
2020-07-05,14.0
2020-07-06,15.0
2020-07-07,15.0
2020-07-08,16.0
2020-07-09,17.0
2020-07-10,16.0
2020-07-11,16.0
2020-07-12,14.0
2020-07-13,15.0
2020-07-14,16.0
2020-07-15,17.0
2020-07-16,18.0
2020-07-17,22.0
2020-07-18,17.0
2020-07-19,23.0
2020-07-20,16.0
2020-07-21,15.0
2020-07-22,16.0
2020-07-23,15.0
2020-07-24,17.0
2020-07-25,17.0
2020-07-26,18.0
2020-07-27,21.0
2020-07-28,30.0
2020-07-29,31.0
2020-07-30,26.0
2020-07-31,24.0
2020-08-01,23.0
2020-08-02,29.0
2020-08-03,28.0
2020-08-04,25.0
2020-08-05,22.0
2020-08-06,23.0
2020-08-07,25.0
2020-08-08,24.0
2020-08-09,21.0
2020-08-10,20.0
2020-08-11,23.0
2020-08-12,22.0
2020-08-13,23.0
2020-08-14,20.0
2020-08-15,20.0
2020-08-16,20.0
2020-08-17,20.0
2020-08-18,23.0
2020-08-19,25.0
2020-08-20,21.0
2020-08-21,20.0
2020-08-22,19.0
2020-08-23,19.0
2020-08-24,17.0
2020-08-25,19.0
2020-08-26,19.0
2020-08-27,18.0
2020-08-28,18.0
2020-08-29,17.0
2020-08-30,15.0
2020-08-31,17.0
2020-09-01,17.0
2020-09-02,19.0
2020-09-03,19.0
2020-09-04,21.0
2020-09-05,23.0
2020-09-06,19.0
2020-09-07,19.0
2020-09-08,19.0
2020-09-09,19.0
2020-09-10,18.0
2020-09-11,17.0
2020-09-12,15.0
2020-09-13,15.0
2020-09-14,17.0
2020-09-15,17.0
2020-09-16,17.0
2020-09-17,17.0
2020-09-18,16.0
2020-09-19,15.0
2020-09-20,14.0
2020-09-21,15.0
2020-09-22,16.0
2020-09-23,15.0
2020-09-24,15.0
2020-09-25,15.0
2020-09-26,14.0
2020-09-27,14.0
2020-09-28,13.0
2020-09-29,14.0
2020-09-30,15.0
2020-10-01,14.0
2020-10-02,14.0
2020-10-03,14.0
2020-10-04,13.0
2020-10-05,12.0
2020-10-06,14.0
2020-10-07,14.0
2020-10-08,13.0
2020-10-09,14.0
2020-10-10,15.0
2020-10-11,16.0
2020-10-12,15.0
2020-10-13,16.0
2020-10-14,15.0
2020-10-15,15.0
2020-10-16,16.0
2020-10-17,15.0
2020-10-18,13.0
2020-10-19,14.0
2020-10-20,16.0
2020-10-21,18.0
2020-10-22,27.0
2020-10-23,28.0
2020-10-24,22.0
2020-10-25,20.0
2020-10-26,20.0
2020-10-27,22.0
2020-10-28,24.0
2020-10-29,26.0
2020-10-30,22.0
2020-10-31,21.0
2020-11-01,22.0
2020-11-02,21.0
2020-11-03,21.0
2020-11-04,20.0
2020-11-05,19.0
2020-11-06,31.0
2020-11-07,32.0
2020-11-08,27.0
2020-11-09,25.0
2020-11-10,25.0
2020-11-11,23.0
2020-11-12,24.0
2020-11-13,26.0
2020-11-14,29.0
2020-11-15,24.0
2020-11-16,22.0
2020-11-17,27.0
2020-11-18,38.0
2020-11-19,46.0
2020-11-20,36.0
2020-11-21,38.0
2020-11-22,37.0
2020-11-23,33.0
2020-11-24,32.0
2020-11-25,46.0
2020-11-26,43.0
2020-11-27,50.0
2020-11-28,36.0
2020-11-29,31.0
2020-11-30,29.0
2020-12-01,40.0
2020-12-02,42.0
2020-12-03,34.0
2020-12-04,31.0
2020-12-05,32.0
2020-12-06,28.0
2020-12-07,26.0
2020-12-08,28.0
2020-12-09,26.0
2020-12-10,30.0
2020-12-11,25.0
2020-12-12,26.0
2020-12-13,22.0
2020-12-14,26.0
2020-12-15,24.0
2020-12-16,25.0
2020-12-17,47.0
2020-12-18,82.0
2020-12-19,58.0
2020-12-20,46.0
2020-12-21,48.0
2020-12-22,50.0
2020-12-23,41.0
2020-12-24,39.0
2020-12-25,36.0
2020-12-26,42.0
2020-12-27,58.0
2020-12-28,74.0
2020-12-29,61.0
2020-12-30,54.0
2020-12-31,61.0
2021-01-01,60.0
2021-01-02,59.0
2021-01-03,100.0
2021-01-04,56.0
2021-01-05,47.0
2021-01-06,38.0
2021-01-07,40.0
2021-01-08,63.0
2021-01-09,63.0
2021-01-10,50.0
2021-01-11,48.0
2021-01-12,71.0
2021-01-13,52.0
2021-01-14,48.0
2021-01-15,48.0
2021-01-16,41.0
2021-01-17,34.0
2021-01-18,31.0
2021-01-19,30.0
2021-01-20,29.0
2021-01-21,28.0
2021-01-22,36.0
2021-01-23,38.0
2021-01-24,27.0
2021-01-25,25.0
2021-01-26,26.0
2021-01-27,26.0
2021-01-28,27.0
2021-01-29,27.0
2021-01-30,44.0
2021-01-31,30.0
2021-02-01,26.0
2021-02-02,26.0
2021-02-03,26.0
2021-02-04,25.0
2021-02-05,26.0
2021-02-06,24.0
2021-02-07,30.0
2021-02-08,26.0
2021-02-09,57.0
2021-02-10,70.0
2021-02-11,46.0
2021-02-12,43.0
2021-02-13,40.0
2021-02-14,33.0
2021-02-15,37.0
2021-02-16,37.0
2021-02-17,41.0
2021-02-18,47.0
2021-02-19,42.0
2021-02-20,47.0
2021-02-21,51.0
2021-02-22,47.0
2021-02-23,55.0
2021-02-24,67.0
2021-02-25,52.0
2021-02-26,41.0
2021-02-27,42.0
2021-02-28,34.0
2021-03-01,37.0
2021-03-02,35.0
2021-03-03,33.0
2021-03-04,31.0
2021-03-05,29.0
2021-03-06,29.0
2021-03-07,26.0
2021-03-08,26.0
2021-03-09,28.0
2021-03-10,33.0
2021-03-11,34.0
2021-03-12,30.0
2021-03-13,30.0
2021-03-14,40.0
2021-03-15,39.0
2021-03-16,35.0
2021-03-17,32.0
2021-03-18,30.0
2021-03-19,30.0
2021-03-20,27.0
2021-03-21,26.0
2021-03-22,25.0
2021-03-23,27.0
2021-03-24,27.0
2021-03-25,31.0
2021-03-26,33.0
2021-03-27,26.0
2021-03-28,26.0
2021-03-29,24.0
2021-03-30,27.0
2021-03-31,28.0
2021-04-01,27.0
2021-04-02,30.0
2021-04-03,27.0
2021-04-04,26.0
2021-04-05,24.0
2021-04-06,26.0
2021-04-07,25.0
2021-04-08,24.0
2021-04-09,24.0
2021-04-10,22.0
2021-04-11,25.0
2021-04-12,25.0
2021-04-13,25.0
2021-04-14,33.0
2021-04-15,37.0
2021-04-16,32.0
2021-04-17,34.0
2021-04-18,28.0
2021-04-19,52.0
2021-04-20,41.0
2021-04-21,35.0
2021-04-22,30.0
2021-04-23,34.0
2021-04-24,55.0
2021-04-25,37.0
2021-04-26,32.0
2021-04-27,34.0
2021-04-28,32.0
2021-04-29,29.0
2021-04-30,26.0
2021-05-01,26.0
2021-05-02,25.0
