,gtrends
2020-01-01,
2020-01-02,23.0
2020-01-03,26.0
2020-01-04,29.0
2020-01-05,26.0
2020-01-06,26.0
2020-01-07,30.0
2020-01-08,34.0
2020-01-09,38.0
2020-01-10,30.0
2020-01-11,29.0
2020-01-12,27.0
2020-01-13,26.0
2020-01-14,26.0
2020-01-15,38.0
2020-01-16,37.0
2020-01-17,31.0
2020-01-18,33.0
2020-01-19,30.0
2020-01-20,32.0
2020-01-21,30.0
2020-01-22,29.0
2020-01-23,27.0
2020-01-24,28.0
2020-01-25,26.0
2020-01-26,23.0
2020-01-27,23.0
2020-01-28,28.0
2020-01-29,32.0
2020-01-30,34.0
2020-01-31,33.0
2020-02-01,31.0
2020-02-02,28.0
2020-02-03,27.0
2020-02-04,28.0
2020-02-05,30.0
2020-02-06,31.0
2020-02-07,34.0
2020-02-08,33.0
2020-02-09,30.0
2020-02-10,40.0
2020-02-11,35.0
2020-02-12,37.0
2020-02-13,41.0
2020-02-14,37.0
2020-02-15,33.0
2020-02-16,32.0
2020-02-17,31.0
2020-02-18,34.0
2020-02-19,32.0
2020-02-20,35.0
2020-02-21,34.0
2020-02-22,33.0
2020-02-23,26.0
2020-02-24,28.0
2020-02-25,32.0
2020-02-26,32.0
2020-02-27,35.0
2020-02-28,35.0
2020-02-29,36.0
2020-03-01,29.0
2020-03-02,28.0
2020-03-03,31.0
2020-03-04,30.0
2020-03-05,31.0
2020-03-06,32.0
2020-03-07,30.0
2020-03-08,27.0
2020-03-09,31.0
2020-03-10,51.0
2020-03-11,40.0
2020-03-12,36.0
2020-03-13,72.0
2020-03-14,100.0
2020-03-15,65.0
2020-03-16,55.0
2020-03-17,64.0
2020-03-18,58.0
2020-03-19,53.0
2020-03-20,61.0
2020-03-21,60.0
2020-03-22,49.0
2020-03-23,45.0
2020-03-24,46.0
2020-03-25,48.0
2020-03-26,44.0
2020-03-27,40.0
2020-03-28,38.0
2020-03-29,39.0
2020-03-30,38.0
2020-03-31,38.0
2020-04-01,34.0
2020-04-02,35.0
2020-04-03,38.0
2020-04-04,36.0
2020-04-05,33.0
2020-04-06,35.0
2020-04-07,39.0
2020-04-08,40.0
2020-04-09,37.0
2020-04-10,35.0
2020-04-11,39.0
2020-04-12,36.0
2020-04-13,35.0
2020-04-14,36.0
2020-04-15,34.0
2020-04-16,35.0
2020-04-17,36.0
2020-04-18,34.0
2020-04-19,34.0
2020-04-20,34.0
2020-04-21,33.0
2020-04-22,35.0
2020-04-23,34.0
2020-04-24,37.0
2020-04-25,39.0
2020-04-26,35.0
2020-04-27,36.0
2020-04-28,38.0
2020-04-29,39.0
2020-04-30,54.0
2020-05-01,60.0
2020-05-02,47.0
2020-05-03,44.0
2020-05-04,47.0
2020-05-05,45.0
2020-05-06,43.0
2020-05-07,47.0
2020-05-08,61.0
2020-05-09,67.0
2020-05-10,56.0
2020-05-11,73.0
2020-05-12,86.0
2020-05-13,64.0
2020-05-14,52.0
2020-05-15,55.0
2020-05-16,46.0
2020-05-17,42.0
2020-05-18,45.0
2020-05-19,44.0
2020-05-20,41.0
2020-05-21,38.0
2020-05-22,42.0
2020-05-23,40.0
2020-05-24,34.0
2020-05-25,38.0
2020-05-26,40.0
2020-05-27,38.0
2020-05-28,37.0
2020-05-29,36.0
2020-05-30,35.0
2020-05-31,34.0
2020-06-01,33.0
2020-06-02,33.0
2020-06-03,46.0
2020-06-04,36.0
2020-06-05,35.0
2020-06-06,34.0
2020-06-07,31.0
2020-06-08,32.0
2020-06-09,32.0
2020-06-10,32.0
2020-06-11,33.0
2020-06-12,35.0
2020-06-13,34.0
2020-06-14,30.0
2020-06-15,29.0
2020-06-16,34.0
2020-06-17,31.0
2020-06-18,32.0
2020-06-19,30.0
2020-06-20,30.0
2020-06-21,26.0
2020-06-22,26.0
2020-06-23,30.0
2020-06-24,30.0
2020-06-25,31.0
2020-06-26,31.0
2020-06-27,28.0
2020-06-28,27.0
2020-06-29,30.0
2020-06-30,29.0
2020-07-01,29.0
2020-07-02,29.0
2020-07-03,16.0
2020-07-04,15.0
2020-07-05,14.0
2020-07-06,14.0
2020-07-07,15.0
2020-07-08,15.0
2020-07-09,16.0
2020-07-10,16.0
2020-07-11,16.0
2020-07-12,14.0
2020-07-13,14.0
2020-07-14,15.0
2020-07-15,16.0
2020-07-16,18.0
2020-07-17,21.0
2020-07-18,16.0
2020-07-19,23.0
2020-07-20,15.0
2020-07-21,14.0
2020-07-22,15.0
2020-07-23,15.0
2020-07-24,16.0
2020-07-25,17.0
2020-07-26,17.0
2020-07-27,21.0
2020-07-28,29.0
2020-07-29,31.0
2020-07-30,25.0
2020-07-31,22.0
2020-08-01,23.0
2020-08-02,27.0
2020-08-03,28.0
2020-08-04,24.0
2020-08-05,20.0
2020-08-06,23.0
2020-08-07,24.0
2020-08-08,22.0
2020-08-09,21.0
2020-08-10,20.0
2020-08-11,23.0
2020-08-12,21.0
2020-08-13,21.0
2020-08-14,20.0
2020-08-15,19.0
2020-08-16,19.0
2020-08-17,20.0
2020-08-18,23.0
2020-08-19,23.0
2020-08-20,20.0
2020-08-21,19.0
2020-08-22,18.0
2020-08-23,18.0
2020-08-24,17.0
2020-08-25,17.0
2020-08-26,18.0
2020-08-27,17.0
2020-08-28,17.0
2020-08-29,16.0
2020-08-30,15.0
2020-08-31,16.0
2020-09-01,16.0
2020-09-02,18.0
2020-09-03,18.0
2020-09-04,20.0
2020-09-05,22.0
2020-09-06,20.0
2020-09-07,19.0
2020-09-08,19.0
2020-09-09,18.0
2020-09-10,17.0
2020-09-11,16.0
2020-09-12,15.0
2020-09-13,15.0
2020-09-14,16.0
2020-09-15,16.0
2020-09-16,16.0
2020-09-17,16.0
2020-09-18,16.0
2020-09-19,15.0
2020-09-20,14.0
2020-09-21,14.0
2020-09-22,15.0
2020-09-23,15.0
2020-09-24,15.0
2020-09-25,15.0
2020-09-26,14.0
2020-09-27,12.0
2020-09-28,13.0
2020-09-29,14.0
2020-09-30,14.0
2020-10-01,13.0
2020-10-02,14.0
2020-10-03,13.0
2020-10-04,12.0
2020-10-05,12.0
2020-10-06,13.0
2020-10-07,14.0
2020-10-08,12.0
2020-10-09,13.0
2020-10-10,14.0
2020-10-11,15.0
2020-10-12,14.0
2020-10-13,16.0
2020-10-14,15.0
2020-10-15,15.0
2020-10-16,15.0
2020-10-17,14.0
2020-10-18,13.0
2020-10-19,13.0
2020-10-20,15.0
2020-10-21,19.0
2020-10-22,25.0
2020-10-23,27.0
2020-10-24,22.0
2020-10-25,19.0
2020-10-26,19.0
2020-10-27,20.0
2020-10-28,24.0
2020-10-29,25.0
2020-10-30,21.0
2020-10-31,20.0
2020-11-01,21.0
2020-11-02,20.0
2020-11-03,20.0
2020-11-04,19.0
2020-11-05,19.0
2020-11-06,29.0
2020-11-07,31.0
2020-11-08,25.0
2020-11-09,23.0
2020-11-10,25.0
2020-11-11,21.0
2020-11-12,23.0
2020-11-13,25.0
2020-11-14,28.0
2020-11-15,22.0
2020-11-16,21.0
2020-11-17,26.0
2020-11-18,36.0
2020-11-19,44.0
2020-11-20,34.0
2020-11-21,36.0
2020-11-22,37.0
2020-11-23,33.0
2020-11-24,32.0
2020-11-25,44.0
2020-11-26,41.0
2020-11-27,50.0
2020-11-28,34.0
2020-11-29,29.0
2020-11-30,27.0
2020-12-01,39.0
2020-12-02,40.0
2020-12-03,31.0
2020-12-04,30.0
2020-12-05,31.0
2020-12-06,27.0
2020-12-07,25.0
2020-12-08,26.0
2020-12-09,26.0
2020-12-10,27.0
2020-12-11,25.0
2020-12-12,26.0
2020-12-13,23.0
2020-12-14,25.0
2020-12-15,23.0
2020-12-16,24.0
2020-12-17,45.0
2020-12-18,79.0
2020-12-19,53.0
2020-12-20,45.0
2020-12-21,44.0
2020-12-22,48.0
2020-12-23,40.0
2020-12-24,39.0
2020-12-25,34.0
2020-12-26,40.0
2020-12-27,56.0
2020-12-28,76.0
2020-12-29,58.0
2020-12-30,51.0
2020-12-31,57.0
2021-01-01,58.0
2021-01-02,58.0
2021-01-03,100.0
2021-01-04,56.0
2021-01-05,48.0
2021-01-06,40.0
2021-01-07,40.0
2021-01-08,64.0
2021-01-09,61.0
2021-01-10,49.0
2021-01-11,49.0
2021-01-12,71.0
2021-01-13,51.0
2021-01-14,47.0
2021-01-15,47.0
2021-01-16,43.0
2021-01-17,34.0
2021-01-18,32.0
2021-01-19,30.0
2021-01-20,29.0
2021-01-21,28.0
2021-01-22,36.0
2021-01-23,38.0
2021-01-24,28.0
2021-01-25,24.0
2021-01-26,27.0
2021-01-27,25.0
2021-01-28,27.0
2021-01-29,27.0
2021-01-30,45.0
2021-01-31,30.0
2021-02-01,26.0
2021-02-02,27.0
2021-02-03,24.0
2021-02-04,26.0
2021-02-05,26.0
2021-02-06,24.0
2021-02-07,30.0
2021-02-08,26.0
2021-02-09,60.0
2021-02-10,69.0
2021-02-11,44.0
2021-02-12,44.0
2021-02-13,40.0
2021-02-14,33.0
2021-02-15,38.0
2021-02-16,37.0
2021-02-17,42.0
2021-02-18,48.0
2021-02-19,42.0
2021-02-20,48.0
2021-02-21,52.0
2021-02-22,48.0
2021-02-23,54.0
2021-02-24,67.0
2021-02-25,52.0
2021-02-26,38.0
2021-02-27,43.0
2021-02-28,35.0
2021-03-01,37.0
2021-03-02,36.0
2021-03-03,33.0
2021-03-04,31.0
2021-03-05,29.0
2021-03-06,29.0
2021-03-07,26.0
2021-03-08,26.0
2021-03-09,28.0
2021-03-10,33.0
2021-03-11,32.0
2021-03-12,31.0
2021-03-13,32.0
2021-03-14,41.0
2021-03-15,37.0
2021-03-16,34.0
2021-03-17,31.0
2021-03-18,29.0
2021-03-19,30.0
2021-03-20,27.0
2021-03-21,26.0
2021-03-22,26.0
2021-03-23,27.0
2021-03-24,27.0
2021-03-25,29.0
2021-03-26,33.0
2021-03-27,26.0
2021-03-28,25.0
2021-03-29,24.0
2021-03-30,27.0
2021-03-31,29.0
2021-04-01,27.0
2021-04-02,31.0
2021-04-03,27.0
2021-04-04,25.0
2021-04-05,24.0
2021-04-06,26.0
2021-04-07,25.0
2021-04-08,24.0
2021-04-09,25.0
2021-04-10,22.0
2021-04-11,26.0
2021-04-12,25.0
2021-04-13,25.0
2021-04-14,34.0
2021-04-15,37.0
2021-04-16,32.0
2021-04-17,37.0
2021-04-18,28.0
2021-04-19,53.0
2021-04-20,42.0
2021-04-21,37.0
2021-04-22,30.0
2021-04-23,34.0
2021-04-24,54.0
2021-04-25,38.0
2021-04-26,32.0
2021-04-27,34.0
2021-04-28,32.0
2021-04-29,28.0
2021-04-30,26.0
2021-05-01,27.0
2021-05-02,26.0
