,gtrends
2020-01-01,
2020-01-02,29.0
2020-01-03,34.0
2020-01-04,34.0
2020-01-05,28.0
2020-01-06,31.0
2020-01-07,34.0
2020-01-08,37.0
2020-01-09,37.0
2020-01-10,31.0
2020-01-11,29.0
2020-01-12,31.0
2020-01-13,29.0
2020-01-14,30.0
2020-01-15,46.0
2020-01-16,45.0
2020-01-17,37.0
2020-01-18,50.0
2020-01-19,45.0
2020-01-20,41.0
2020-01-21,36.0
2020-01-22,34.0
2020-01-23,35.0
2020-01-24,33.0
2020-01-25,31.0
2020-01-26,27.0
2020-01-27,29.0
2020-01-28,36.0
2020-01-29,35.0
2020-01-30,42.0
2020-01-31,44.0
2020-02-01,40.0
2020-02-02,35.0
2020-02-03,42.0
2020-02-04,41.0
2020-02-05,40.0
2020-02-06,50.0
2020-02-07,62.0
2020-02-08,67.0
2020-02-09,60.0
2020-02-10,60.0
2020-02-11,57.0
2020-02-12,62.0
2020-02-13,100.0
2020-02-14,90.0
2020-02-15,77.0
2020-02-16,80.0
2020-02-17,68.0
2020-02-18,68.0
2020-02-19,65.0
2020-02-20,66.0
2020-02-21,59.0
2020-02-22,51.0
2020-02-23,46.0
2020-02-24,49.0
2020-02-25,54.0
2020-02-26,49.0
2020-02-27,54.0
2020-02-28,51.0
2020-02-29,46.0
2020-03-01,37.0
2020-03-02,38.0
2020-03-03,43.0
2020-03-04,42.0
2020-03-05,40.0
2020-03-06,42.0
2020-03-07,43.0
2020-03-08,41.0
2020-03-09,44.0
2020-03-10,55.0
2020-03-11,46.0
2020-03-12,42.0
2020-03-13,70.0
2020-03-14,85.0
2020-03-15,58.0
2020-03-16,52.0
2020-03-17,63.0
2020-03-18,54.0
2020-03-19,50.0
2020-03-20,54.0
2020-03-21,58.0
2020-03-22,47.0
2020-03-23,44.0
2020-03-24,43.0
2020-03-25,44.0
2020-03-26,41.0
2020-03-27,40.0
2020-03-28,37.0
2020-03-29,38.0
2020-03-30,36.0
2020-03-31,39.0
2020-04-01,36.0
2020-04-02,37.0
2020-04-03,41.0
2020-04-04,41.0
2020-04-05,37.0
2020-04-06,34.0
2020-04-07,53.0
2020-04-08,58.0
2020-04-09,49.0
2020-04-10,44.0
2020-04-11,45.0
2020-04-12,40.0
2020-04-13,44.0
2020-04-14,44.0
2020-04-15,41.0
2020-04-16,39.0
2020-04-17,47.0
2020-04-18,44.0
2020-04-19,56.0
2020-04-20,60.0
2020-04-21,50.0
2020-04-22,47.0
2020-04-23,46.0
2020-04-24,54.0
2020-04-25,51.0
2020-04-26,62.0
2020-04-27,66.0
2020-04-28,61.0
2020-04-29,56.0
2020-04-30,81.0
2020-05-01,82.0
2020-05-02,63.0
2020-05-03,64.0
2020-05-04,64.0
2020-05-05,61.0
2020-05-06,58.0
2020-05-07,59.0
2020-05-08,64.0
2020-05-09,65.0
2020-05-10,65.0
2020-05-11,76.0
2020-05-12,61.0
2020-05-13,62.0
2020-05-14,59.0
2020-05-15,62.0
2020-05-16,56.0
2020-05-17,54.0
2020-05-18,64.0
2020-05-19,63.0
2020-05-20,59.0
2020-05-21,55.0
2020-05-22,55.0
2020-05-23,54.0
2020-05-24,48.0
2020-05-25,53.0
2020-05-26,52.0
2020-05-27,52.0
2020-05-28,49.0
2020-05-29,53.0
2020-05-30,56.0
2020-05-31,80.0
2020-06-01,79.0
2020-06-02,66.0
2020-06-03,79.0
2020-06-04,64.0
2020-06-05,62.0
2020-06-06,59.0
2020-06-07,56.0
2020-06-08,56.0
2020-06-09,56.0
2020-06-10,60.0
2020-06-11,58.0
2020-06-12,61.0
2020-06-13,54.0
2020-06-14,52.0
2020-06-15,51.0
2020-06-16,56.0
2020-06-17,53.0
2020-06-18,54.0
2020-06-19,52.0
2020-06-20,47.0
2020-06-21,48.0
2020-06-22,48.0
2020-06-23,55.0
2020-06-24,57.0
2020-06-25,63.0
2020-06-26,53.0
2020-06-27,56.0
2020-06-28,53.0
2020-06-29,58.0
2020-06-30,51.0
2020-07-01,53.0
2020-07-02,52.0
2020-07-03,18.0
2020-07-04,17.0
2020-07-05,17.0
2020-07-06,18.0
2020-07-07,18.0
2020-07-08,20.0
2020-07-09,23.0
2020-07-10,21.0
2020-07-11,19.0
2020-07-12,18.0
2020-07-13,18.0
2020-07-14,19.0
2020-07-15,19.0
2020-07-16,18.0
2020-07-17,18.0
2020-07-18,16.0
2020-07-19,17.0
2020-07-20,17.0
2020-07-21,17.0
2020-07-22,18.0
2020-07-23,20.0
2020-07-24,31.0
2020-07-25,31.0
2020-07-26,41.0
2020-07-27,50.0
2020-07-28,54.0
2020-07-29,41.0
2020-07-30,34.0
2020-07-31,36.0
2020-08-01,41.0
2020-08-02,56.0
